dish_name,sig_score,band,evidence_confidence,coverage_confidence,owner,method,version,status
Goli Baje,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Akki Rotti,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Mangalorean Fish Gassi,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kori Rotti,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mysore Pak,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Obbattu,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Vangi Bath,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kesari Bath,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Saaru,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Machher Jhol,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Shorshe Ilish,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Aloo Posto,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Luchi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Cholar Dal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kosha Mangsho,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Mishti Doi,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sandesh,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rasgulla,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Begun Bhaja,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chingri Malai Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Doi Maach,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Shukto,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Macher Kalia,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pitha (Patishapta),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Ghugni,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mochar Ghonto,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Aam Doi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Steamed Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Muri Ghonto,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Vada Pav,1.0,national_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Misal Pav,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Puran Poli,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Thalipeeth,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sabudana Khichdi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Poha,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Usal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bhakri,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pav Bhaji,1.0,national_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Batata Vada,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bharli Vangi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sol Kadhi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Amti,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kombdi Vade (Malvani),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tambda Rassa,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pandhra Rassa,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Modak,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Shrikhand,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Ukdiche Modak,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kothimbir Vadi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dhokla,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Thepla,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Undhiyu,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Khandvi,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Fafda Jalebi,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Dal Dhokli,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gujarati Kadhi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sev Tamatar,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Handvo,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Patra,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Basundi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gathiya,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mohanthal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Khakhra,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Aam Shrikhand,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rotla,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Methi Na Gota,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Khichu,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Muthiya,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Goan Fish Curry,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Vindaloo (Pork),0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Xacuti (Chicken),0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Bebinca,0.9,state_icon,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Sorpotel,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Ros Omelette,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Fish Recheado,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pao (Goan Bread),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Prawn Balchao,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Goan Prawn Curry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Cafreal,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sannas,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Samosa,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kathi Roll,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pakora (Mixed Veg),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pani Puri,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bread Pakora,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chole Tikki,0.75,regional_hero,Medium,High,"AI-researched (Claude Sonnet 5, WP-21)","AI-assigned via established Indian food-culture knowledge (not live-cited web sources) per Founder direction that per-dish Founder review isn't feasible at this volume; recommend a spot-check, not a full re-review",KB0.2,AI_RESEARCHED
Ragda Pattice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Momos (Steamed Veg),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Momos (Chicken),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Fried Momos,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dosa (Street Style),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Egg Roll,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Jalebi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gulab Jamun,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gajar Ka Halwa,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Hakka Noodles,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Veg Fried Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Manchurian (Veg),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chilli Chicken,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chilli Paneer,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Manchow Soup (Veg),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Spring Roll,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Fried Rice,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Manchurian,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Paneer 65,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Honey Chilli Potato,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Schezwan Noodles,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Paneer Chilli Dry,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dragon Chicken,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dal Baati,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Churma,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Laal Maas,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gatte Ki Sabzi,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Ker Sangri,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pyaaz Ki Kachori,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Achari Paneer,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Papad Ki Sabzi,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bajra Roti,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Barfi (Kaju),0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pasta Arrabiata,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Margherita Pizza,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pasta Alfredo,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Garlic Bread,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bruschetta,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Grilled Chicken,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Caesar Salad,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Mushroom Soup,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
French Fries,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Grilled Sandwich,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Paneer Steak,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Tomato Soup,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Veg Burger,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Maggi Noodles,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chicken Burger,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Rogan Josh,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dum Aloo (Kashmiri),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Yakhni,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Kahwa,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Noon Chai,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gushtaba,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Modur Pulao,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Haak (Kashmiri Greens),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bhakarwadi,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gongura Chicken,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Pulihora,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Gutti Vankaya,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Andhra Chicken Curry,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Boti Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Cham Cham,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sakinalu,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Natu Kodi Pulusu,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Litti Chokha,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Sattu Paratha,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Thekua,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Dal Pitha,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chana Ghugni,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Chapli Kebab,0.75,regional_hero,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Koki,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Poha Jalebi (Indori),0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Bhutte Ka Kees,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
Parsi Dhansak,0.60,very_common,Low,High,Auto-derived,catalogue heuristic (v1) - see generate_sig_scores_v1.py header for rule,KB0.2,AUTO_DRAFT
